,,,,,,,,Touches,,,,,,,Take-Ons,,,,,Carries,,,,,,,,Receiving,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,-9999
1,Brenden Aaronson,us USA,MFFW,Leeds United,22-188,2000,25.5,1105,11,111,475,541,67,1105,100,34,34.0,48,48.0,666,3570,1500,43,33,13,69,79,746,147,Matches,5bc43860
2,Che Adams,sct SCO,FW,Southampton,26-289,1996,21.1,681,26,63,274,356,96,681,30,15,50.0,11,36.7,382,1506,437,14,11,9,65,24,529,104,Matches,f2bf1b0f
3,Tyler Adams,us USA,MF,Leeds United,24-073,1999,24.0,1628,44,376,1010,254,5,1628,22,7,31.8,12,54.5,818,3342,1555,19,21,0,28,18,919,20,Matches,2b09d998
4,Tosin Adarabioyo,eng ENG,DF,Fulham,25-216,1997,17.2,1122,173,562,530,37,14,1122,6,4,66.7,2,33.3,596,3273,2013,15,11,1,2,4,686,3,Matches,c81d773d
5,Nayef Aguerd,ma MAR,DF,West Ham,27-029,1996,13.7,710,124,415,275,26,15,710,6,4,66.7,0,0.0,409,1595,841,2,1,0,8,4,439,4,Matches,288e1e13
6,Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,21-030,2002,1.0,63,0,12,35,16,4,63,2,1,50.0,1,50.0,31,177,70,1,2,1,5,0,38,11,Matches,a6c58494
7,Rayan Aït Nouri,dz ALG,DF,Wolves,21-326,2001,11.5,709,39,224,263,232,28,709,45,24,53.3,18,40.0,378,2150,1216,30,13,10,27,10,430,76,Matches,9b398aea
8,Kristoffer Ajer,no NOR,DF,Brentford,25-011,1998,8.5,412,45,184,167,64,9,412,7,1,14.3,4,57.1,213,1123,613,10,5,0,3,8,231,12,Matches,a8c0acb7
9,Manuel Akanji,ch SUI,DF,Manchester City,27-283,1995,21.6,1853,109,700,1025,136,28,1853,7,5,71.4,1,14.3,1283,7198,4309,22,36,1,9,2,1438,12,Matches,89ac64a6
10,Nathan Aké,nl NED,DF,Manchester City,28-069,1995,18.7,1760,77,570,987,212,27,1760,5,3,60.0,1,20.0,1105,4917,2994,22,15,3,16,0,1342,28,Matches,eaeca114
11,Marc Albrighton,eng ENG,FWMF,Leicester City,33-161,1989,2.6,173,6,33,61,79,5,173,2,2,100.0,0,0.0,83,391,147,4,4,0,4,2,116,18,Matches,b827d5b3
12,Thiago Alcántara,es ESP,MF,Liverpool,32-017,1991,13.9,1251,45,272,796,188,8,1251,30,21,70.0,4,13.3,718,3639,1721,13,21,0,13,22,910,24,Matches,77e84962
13,Carlos Alcaraz,ar ARG,MFFW,Southampton,20-149,2002,7.2,295,11,48,154,95,20,295,16,8,50.0,5,31.3,176,769,390,10,13,1,24,19,202,25,Matches,4abac767
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24-203,1998,26.5,2575,80,604,1320,667,36,2575,27,18,66.7,7,25.9,1441,5227,2547,35,28,6,30,17,1652,122,Matches,cd1acf9d
15,Alisson,br BRA,GK,Liverpool,30-208,1992,32.0,1341,1000,1308,34,0,0,1341,1,1,100.0,0,0.0,854,4007,2506,0,0,0,1,0,786,0,Matches,7a2e46a8
16,Dele Alli,eng ENG,MF,Everton,27-017,1996,0.4,20,0,1,8,11,2,20,1,0,0.0,1,100.0,11,30,3,0,0,0,3,1,14,1,Matches,cea4ee8f
17,Miguel Almirón,py PAR,FW,Newcastle Utd,29-077,1994,23.4,1091,20,124,357,630,104,1091,64,25,39.1,28,43.8,697,4625,1998,65,36,21,40,20,773,218,Matches,862a1c15
18,Julián Álvarez,ar ARG,FWMF,Manchester City,23-087,2000,10.2,389,7,24,161,207,53,388,16,10,62.5,5,31.3,218,1235,531,22,7,12,17,14,287,58,Matches,15ab5a2b
19,Daniel Amartey,gh GHA,DF,Leicester City,28-128,1994,17.9,1279,185,658,578,46,9,1279,5,2,40.0,2,40.0,779,3720,2275,23,11,0,8,4,909,5,Matches,1a4ef233
20,Joachim Andersen,dk DEN,DF,Crystal Palace,26-332,1996,25.9,1879,326,1063,757,68,29,1879,8,5,62.5,3,37.5,1032,5056,2661,7,4,2,8,2,1202,6,Matches,e34fc66d
21,Elliot Anderson,sct SCO,MFFW,Newcastle Utd,20-173,2002,2.4,167,2,25,58,90,29,167,20,5,25.0,10,50.0,93,660,336,16,7,8,4,9,105,20,Matches,de31038e
22,Jaidon Anthony,eng ENG,MFFW,Bournemouth,23-148,1999,12.3,630,16,121,234,281,32,630,43,13,30.2,29,67.4,369,2193,926,27,22,12,22,16,402,67,Matches,e4238fb1
23,Michail Antonio,jm JAM,FW,West Ham,33-031,1990,16.9,496,11,32,220,256,67,496,51,18,35.3,25,49.0,319,2085,978,37,23,15,61,38,400,97,Matches,ac05f970
24,Antony,br BRA,FW,Manchester Utd,23-063,2000,16.0,850,8,112,279,480,61,850,60,20,33.3,33,55.0,622,3881,1993,74,50,24,31,8,649,130,Matches,99127249
25,Cameron Archer,eng ENG,FWMF,Aston Villa,21-281,2001,0.5,15,0,1,8,7,3,15,1,1,100.0,0,0.0,15,114,72,3,1,1,2,3,13,3,Matches,05e8ca6d
26,Alphonse Areola,fr FRA,GK,West Ham,30-060,1993,3.4,98,91,98,0,0,0,98,0,0,,0,,53,253,153,0,0,0,0,0,42,0,Matches,2f965a72
27,Joe Aribo,ng NGA,MFFW,Southampton,26-281,1996,12.8,538,13,83,251,216,46,538,39,17,43.6,21,53.8,284,1249,610,19,10,7,32,20,340,62,Matches,328f7d51
28,Adam Armstrong,eng ENG,FW,Southampton,26-077,1997,14.0,441,10,67,169,215,44,441,41,13,31.7,23,56.1,248,2254,955,38,27,10,24,22,265,67,Matches,68c720b5
29,Stuart Armstrong,sct SCO,MFFW,Southampton,31-029,1992,12.7,729,17,111,332,296,31,729,44,18,40.9,19,43.2,455,3218,1661,49,40,7,24,23,513,70,Matches,97333cf5
30,Kepa Arrizabalaga,es ESP,GK,Chelsea,28-207,1994,23.5,925,724,911,14,0,0,925,1,1,100.0,0,0.0,548,2452,1453,0,0,0,1,0,492,0,Matches,28d596a0
31,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33-314,1989,5.7,152,6,15,62,78,22,152,5,3,60.0,2,40.0,83,519,254,9,6,4,10,4,113,28,Matches,d5dd5f1f
32,Ludwig Augustinsson,se SWE,DF,Aston Villa,29-007,1994,0.9,51,3,19,15,17,2,51,1,0,0.0,1,100.0,29,180,27,0,2,0,0,0,21,3,Matches,9fec8860
33,Serge Aurier,ci CIV,DF,Nott'ham Forest,30-125,1992,16.9,1055,81,395,437,234,10,1055,24,11,45.8,8,33.3,449,2076,1221,33,23,0,24,14,485,43,Matches,5c2b4f07
34,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,25-259,1997,11.4,321,14,45,131,150,43,321,18,5,27.8,10,55.6,188,998,401,13,12,7,49,23,208,41,Matches,e5478b87
35,Yasin Ayari,se SWE,MF,Brighton,19-204,2003,0.1,12,0,2,7,3,0,12,0,0,,0,,9,39,25,0,0,0,0,0,10,0,Matches,f173303a
36,André Ayew,gh GHA,FWMF,Nott'ham Forest,33-132,1989,3.1,90,9,12,44,34,8,89,4,1,25.0,2,50.0,36,236,93,3,3,2,3,4,55,15,Matches,5dbefa9d
37,Jordan Ayew,gh GHA,FWMF,Crystal Palace,31-229,1991,25.2,1119,42,167,523,461,77,1119,124,52,41.9,49,39.5,669,4274,1916,69,36,24,91,68,769,146,Matches,da052c14
38,Luke Ayling,eng ENG,DF,Leeds United,31-246,1991,17.8,1152,61,396,465,307,45,1152,29,11,37.9,16,55.2,509,2277,1160,21,16,3,21,9,558,71,Matches,420d7c7d
39,César Azpilicueta,es ESP,DF,Chelsea,33-243,1989,12.8,977,68,339,395,248,19,977,9,5,55.6,4,44.4,470,1993,1176,17,15,0,9,3,588,66,Matches,53cad200
40,Benoît Badiashile,fr FRA,DF,Chelsea,22-033,2001,8.1,728,81,379,339,17,7,728,2,0,0.0,2,100.0,496,2332,1370,9,1,0,1,1,529,1,Matches,06df8256
41,Leon Bailey,jm JAM,FWMF,Aston Villa,25-262,1997,19.3,728,13,78,246,417,76,728,95,34,35.8,50,52.6,467,3615,1524,76,29,33,42,51,509,166,Matches,3a233281
42,Stefan Bajcetic,es ESP,MF,Liverpool,18-188,2004,5.8,324,6,66,189,74,5,324,16,7,43.8,4,25.0,175,990,450,10,7,0,7,6,204,1,Matches,32e8417f
43,Patrick Bamford,eng ENG,FW,Leeds United,29-235,1993,13.8,458,17,30,214,220,67,457,28,9,32.1,16,57.1,238,974,384,15,13,11,47,16,318,82,Matches,93feac6e
44,Shandon Baptiste,gd GRN,MF,Brentford,25-020,1998,6.1,326,11,77,168,88,7,326,13,6,46.2,3,23.1,216,957,452,8,12,3,16,7,217,22,Matches,2886c9b5
45,Harvey Barnes,eng ENG,FWMF,Leicester City,25-140,1997,26.2,993,11,98,386,525,115,993,77,21,27.3,47,61.0,629,4424,2318,86,68,39,66,36,785,235,Matches,3ea50f67
46,Gavin Bazunu,ie IRL,GK,Southampton,21-067,2002,32.0,1253,910,1234,19,0,0,1253,0,0,,0,,746,3699,2072,0,0,0,0,0,599,0,Matches,c91441dc
47,Mads Bech Sørensen,dk DEN,DFMF,Brentford,24-111,1999,0.2,14,1,4,8,2,0,14,0,0,,0,,2,3,0,0,0,0,0,0,5,0,Matches,30db8574
48,Jan Bednarek,pl POL,DF,Southampton,27-016,1996,13.6,832,125,450,356,29,13,832,2,1,50.0,1,50.0,426,1792,1040,4,1,0,2,1,429,2,Matches,4115ce4e
49,Jan Bednarek,pl POL,DF,Aston Villa,27-016,1996,1.1,79,9,39,40,1,0,79,0,0,,0,,47,291,177,1,0,0,0,0,53,0,Matches,4115ce4e
50,Donny van de Beek,nl NED,MF,Manchester Utd,26-010,1997,1.9,72,1,3,23,46,11,72,3,2,66.7,1,33.3,39,148,85,2,3,0,2,2,53,20,Matches,50dc94ce
51,Asmir Begović,ba BIH,GK,Everton,35-312,1987,1.0,33,31,33,0,0,0,33,0,0,,0,,19,75,47,0,0,0,0,0,13,0,Matches,7b4de647
52,Armel Bella Kotchap,de GER,DF,Southampton,21-138,2001,19.5,1111,185,599,474,45,21,1111,11,4,36.4,3,27.3,637,3331,1788,9,12,2,9,6,624,2,Matches,a39d11bc
53,Saïd Benrahma,dz ALG,FWMF,West Ham,27-261,1995,20.4,944,14,115,333,513,76,940,112,46,41.1,50,44.6,613,4630,2312,92,48,33,50,37,697,208,Matches,5a04fd92
54,Rodrigo Bentancur,uy URU,MF,Tottenham,25-307,1997,16.7,1071,52,295,612,175,19,1071,34,21,61.8,11,32.4,581,3001,1444,26,14,1,22,17,732,19,Matches,3b8674e6
55,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,20-133,2002,9.0,553,30,213,231,113,4,553,14,7,50.0,4,28.6,252,1348,666,16,8,0,10,9,278,23,Matches,505486d6
56,Owen Bevan,wls WAL,DF,Bournemouth,19-184,2003,0.1,3,0,3,0,0,0,3,0,0,,0,,1,0,0,0,0,0,0,0,1,0,Matches,87966294
57,Giulian Biancone,fr FRA,DF,Nott'ham Forest,23-028,2000,0.2,25,2,19,5,1,0,25,0,0,,0,,10,76,61,2,1,0,0,0,13,1,Matches,de40e38c
58,Philip Billing,dk DEN,MFFW,Bournemouth,26-321,1996,27.5,1255,73,300,582,391,61,1255,41,22,53.7,13,31.7,641,3318,1566,35,30,6,36,30,787,86,Matches,d328a254
59,Yves Bissouma,ml MLI,MF,Tottenham,26-241,1996,9.0,639,17,127,411,102,1,639,7,5,71.4,2,28.6,371,2011,816,10,8,0,13,5,465,7,Matches,6c203af0
60,Willy Boly,ci CIV,DF,Nott'ham Forest,32-084,1991,6.6,324,60,221,91,14,8,324,2,1,50.0,0,0.0,157,741,352,1,1,0,2,0,168,0,Matches,a4ac4b8f
61,Sven Botman,nl NED,DF,Newcastle Utd,23-106,2000,28.7,1713,286,1006,642,74,44,1713,1,1,100.0,0,0.0,953,4344,2313,7,4,2,8,2,1100,3,Matches,ccce7025
62,Jarrod Bowen,eng ENG,FWMF,West Ham,26-129,1996,31.7,1164,23,160,396,618,141,1162,108,33,30.6,48,44.4,650,4926,1949,93,40,54,59,51,697,194,Matches,79c84d1c
63,James Bree,eng ENG,DF,Southampton,25-199,1997,2.2,140,7,29,44,67,2,140,2,1,50.0,1,50.0,61,220,85,3,3,0,2,1,67,11,Matches,c07b7c5c
64,Armando Broja,al ALB,FW,Chelsea,21-230,2001,3.3,110,2,7,41,63,16,110,15,8,53.3,5,33.3,54,399,199,8,1,5,15,9,71,17,Matches,97220da2
65,David Brooks,wls WAL,DFFW,Bournemouth,25-294,1997,0.3,7,2,3,2,2,1,7,0,0,,0,,4,9,1,0,0,0,0,1,5,1,Matches,dc4cae05
66,Lewis Brunt,eng ENG,DF,Leicester City,22-173,2000,0.3,23,1,8,12,3,0,23,0,0,,0,,9,30,4,0,0,0,0,0,13,2,Matches,a2081c6b
67,Bryan,es ESP,MFFW,Tottenham,22-076,2001,1.6,80,1,13,30,37,2,80,5,2,40.0,3,60.0,55,337,145,4,3,0,5,3,61,15,Matches,7b5ab7f2
68,Emi Buendía,ar ARG,MFFW,Aston Villa,26-124,1996,23.8,1201,34,189,574,451,75,1201,52,22,42.3,24,46.2,741,3557,1751,52,39,16,51,55,858,119,Matches,66b76d44
69,Hugo Bueno,es ESP,DF,Wolves,20-222,2002,12.7,743,47,287,242,221,13,743,32,13,40.6,13,40.6,354,2484,1303,47,28,4,15,9,395,58,Matches,bfc3b3a0
70,Facundo Buonanotte,ar ARG,MFFW,Brighton,18-126,2004,1.6,67,2,7,28,35,7,67,1,0,0.0,1,100.0,51,252,120,4,4,0,1,1,54,5,Matches,468a7a91
71,Dan Burn,eng ENG,DF,Newcastle Utd,30-354,1992,29.5,1740,147,685,762,302,54,1740,23,10,43.5,11,47.8,764,3536,1766,23,18,5,27,7,928,38,Matches,b2d31e83
