,,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
1,Brenden Aaronson,us USA,MFFW,Leeds United,22-187,2000,32,28,2296,25.5,1,3,4,1,0,0,2,0,3.7,3.7,4.2,7.9,43,84,147,0.04,0.12,0.16,0.04,0.16,0.14,0.17,0.31,0.14,0.31,Matches,5bc43860
2,Che Adams,sct SCO,FW,Southampton,26-288,1996,25,22,1873,20.8,5,3,8,5,0,0,1,0,5.9,5.9,2.8,8.7,14,30,96,0.24,0.14,0.38,0.24,0.38,0.28,0.13,0.42,0.28,0.42,Matches,f2bf1b0f
3,Tyler Adams,us USA,MF,Leeds United,24-072,1999,24,24,2156,24.0,0,0,0,0,0,0,6,1,0.1,0.1,1.4,1.5,19,136,20,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches,2b09d998
4,Tosin Adarabioyo,eng ENG,DF,Fulham,25-215,1997,19,17,1545,17.2,1,0,1,1,0,0,3,0,0.4,0.4,0.2,0.6,15,71,3,0.06,0.00,0.06,0.06,0.06,0.02,0.01,0.03,0.02,0.03,Matches,c81d773d
5,Nayef Aguerd,ma MAR,DF,West Ham,27-028,1996,14,13,1235,13.7,1,0,1,1,0,0,4,0,1.4,1.4,0.4,1.8,2,18,4,0.07,0.00,0.07,0.07,0.07,0.10,0.03,0.13,0.10,0.13,Matches,288e1e13
6,Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,21-029,2002,7,0,93,1.0,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.2,1,2,11,0.00,0.00,0.00,0.00,0.00,0.15,0.07,0.22,0.15,0.22,Matches,a6c58494
7,Rayan Aït Nouri,dz ALG,DF,Wolves,21-325,2001,20,9,1031,11.5,1,0,1,1,0,0,4,0,0.7,0.7,1.0,1.7,30,43,76,0.09,0.00,0.09,0.09,0.09,0.06,0.09,0.15,0.06,0.15,Matches,9b398aea
8,Kristoffer Ajer,no NOR,DF,Brentford,25-010,1998,9,9,763,8.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,10,31,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,Matches,a8c0acb7
9,Manuel Akanji,ch SUI,DF,Manchester City,27-282,1995,24,20,1946,21.6,0,1,1,0,0,0,2,0,1.2,1.2,0.3,1.4,22,93,12,0.00,0.05,0.05,0.00,0.05,0.05,0.01,0.07,0.05,0.07,Matches,89ac64a6
10,Nathan Aké,nl NED,DF,Manchester City,28-068,1995,23,19,1683,18.7,0,0,0,0,0,0,2,0,1.0,1.0,0.6,1.6,22,128,28,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.09,0.05,0.09,Matches,eaeca114
11,Marc Albrighton,eng ENG,FWMF,Leicester City,33-160,1989,6,1,237,2.6,1,0,1,1,0,0,0,0,0.3,0.3,0.9,1.3,4,7,18,0.38,0.00,0.38,0.38,0.38,0.13,0.34,0.48,0.13,0.48,Matches,b827d5b3
12,Thiago Alcántara,es ESP,MF,Liverpool,32-016,1991,18,14,1254,13.9,0,0,0,0,0,0,2,0,0.4,0.4,1.1,1.5,13,120,24,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.11,0.03,0.11,Matches,77e84962
13,Carlos Alcaraz,ar ARG,MFFW,Southampton,20-148,2002,12,7,556,6.2,3,1,4,3,0,0,2,0,1.0,1.0,0.5,1.6,9,14,21,0.49,0.16,0.65,0.49,0.65,0.16,0.09,0.25,0.16,0.25,Matches,4abac767
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24-202,1998,31,28,2383,26.5,1,7,8,1,0,0,4,0,1.8,1.8,8.9,10.6,35,194,122,0.04,0.26,0.30,0.04,0.30,0.07,0.33,0.40,0.07,0.40,Matches,cd1acf9d
15,Alisson,br BRA,GK,Liverpool,30-207,1992,32,32,2880,32.0,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.3,0,2,0,0.00,0.03,0.03,0.00,0.03,0.00,0.01,0.01,0.00,0.01,Matches,7a2e46a8
16,Dele Alli,eng ENG,MF,Everton,27-016,1996,2,0,40,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,cea4ee8f
17,Miguel Almirón,py PAR,FW,Newcastle Utd,29-076,1994,27,24,2038,22.6,11,1,12,11,0,0,2,0,6.3,6.3,1.7,8.0,64,107,215,0.49,0.04,0.53,0.49,0.53,0.28,0.07,0.35,0.28,0.35,Matches,862a1c15
