,,,,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
1,Brenden Aaronson,us USA,MFFW,Leeds United,22-188,2000,25.5,43,17,15,21,7,13,41,31.7,28,41,3,38,5,48,6,1,Matches,5bc43860
2,Che Adams,sct SCO,FW,Southampton,26-289,1996,21.1,17,13,7,8,2,7,11,63.6,4,13,4,9,4,21,19,0,Matches,f2bf1b0f
3,Tyler Adams,us USA,MF,Leeds United,24-073,1999,24.0,89,46,44,35,10,50,77,64.9,27,48,8,40,35,124,29,0,Matches,2b09d998
4,Tosin Adarabioyo,eng ENG,DF,Fulham,25-216,1997,17.2,20,9,15,4,1,10,15,66.7,5,16,13,3,21,41,106,1,Matches,c81d773d
5,Nayef Aguerd,ma MAR,DF,West Ham,27-029,1996,13.7,20,14,14,6,0,11,15,73.3,4,19,18,1,14,34,58,2,Matches,288e1e13
6,Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,21-030,2002,1.0,3,2,3,0,0,1,3,33.3,2,2,0,2,0,3,0,0,Matches,a6c58494
7,Rayan Aït Nouri,dz ALG,DF,Wolves,21-326,2001,11.5,33,20,25,7,1,9,14,64.3,5,3,0,3,9,42,27,0,Matches,9b398aea
8,Kristoffer Ajer,no NOR,DF,Brentford,25-011,1998,8.5,11,8,5,4,2,9,16,56.3,7,6,5,1,7,18,22,0,Matches,a8c0acb7
9,Manuel Akanji,ch SUI,DF,Manchester City,27-283,1995,21.6,32,22,14,15,3,19,31,61.3,12,25,8,17,14,46,29,0,Matches,89ac64a6
10,Nathan Aké,nl NED,DF,Manchester City,28-069,1995,18.7,22,8,13,7,2,9,13,69.2,4,17,9,8,18,40,38,0,Matches,eaeca114
11,Marc Albrighton,eng ENG,FWMF,Leicester City,33-161,1989,2.6,4,1,0,2,2,1,8,12.5,7,6,2,4,1,5,5,0,Matches,b827d5b3
12,Thiago Alcántara,es ESP,MF,Liverpool,32-017,1991,13.9,43,24,20,21,2,14,23,60.9,9,15,3,12,21,64,13,2,Matches,77e84962
13,Carlos Alcaraz,ar ARG,MFFW,Southampton,20-149,2002,7.2,5,3,0,4,1,3,12,25.0,9,11,4,7,1,6,9,0,Matches,4abac767
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24-203,1998,26.5,50,35,28,14,8,36,63,57.1,27,24,6,18,39,89,33,2,Matches,cd1acf9d
15,Alisson,br BRA,GK,Liverpool,30-208,1992,32.0,0,0,0,0,0,0,3,0.0,3,3,0,3,0,0,15,0,Matches,7a2e46a8
16,Dele Alli,eng ENG,MF,Everton,27-017,1996,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,cea4ee8f
17,Miguel Almirón,py PAR,FW,Newcastle Utd,29-077,1994,23.4,38,26,12,17,9,15,29,51.7,14,23,2,21,7,45,14,0,Matches,862a1c15
18,Julián Álvarez,ar ARG,FWMF,Manchester City,23-087,2000,10.2,16,10,2,8,6,3,17,17.6,14,11,0,11,1,17,5,0,Matches,15ab5a2b
19,Daniel Amartey,gh GHA,DF,Leicester City,28-128,1994,17.9,19,8,13,5,1,12,14,85.7,2,24,17,7,8,27,71,0,Matches,1a4ef233
20,Joachim Andersen,dk DEN,DF,Crystal Palace,26-332,1996,25.9,29,12,19,10,0,13,27,48.1,14,24,12,12,21,50,168,0,Matches,e34fc66d
21,Elliot Anderson,sct SCO,MFFW,Newcastle Utd,20-173,2002,2.4,9,5,5,2,2,5,9,55.6,4,8,1,7,4,13,0,0,Matches,de31038e
22,Jaidon Anthony,eng ENG,MFFW,Bournemouth,23-148,1999,12.3,28,16,14,8,6,7,22,31.8,15,22,1,21,9,37,16,0,Matches,e4238fb1
23,Michail Antonio,jm JAM,FW,West Ham,33-031,1990,16.9,13,7,1,7,5,3,8,37.5,5,12,4,8,5,18,5,0,Matches,ac05f970
24,Antony,br BRA,FW,Manchester Utd,23-063,2000,16.0,21,8,9,8,4,8,21,38.1,13,14,0,14,10,31,4,0,Matches,99127249
25,Cameron Archer,eng ENG,FWMF,Aston Villa,21-281,2001,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,05e8ca6d
26,Alphonse Areola,fr FRA,GK,West Ham,30-060,1993,3.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,2f965a72
27,Joe Aribo,ng NGA,MFFW,Southampton,26-281,1996,12.8,30,19,14,12,4,11,19,57.9,8,13,1,12,8,38,10,0,Matches,328f7d51
