,,,,,,,,SCA,,SCA Types,,,,,,GCA,,GCA Types,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,-9999
1,Brenden Aaronson,us USA,MFFW,Leeds United,22-188,2000,25.5,94,3.68,56,17,7,5,8,1,7,0.27,3,1,0,1,1,1,Matches,5bc43860
2,Che Adams,sct SCO,FW,Southampton,26-289,1996,21.1,55,2.60,43,1,2,4,5,0,6,0.28,4,0,0,0,2,0,Matches,f2bf1b0f
3,Tyler Adams,us USA,MF,Leeds United,24-073,1999,24.0,43,1.79,42,0,0,0,1,0,1,0.04,1,0,0,0,0,0,Matches,2b09d998
4,Tosin Adarabioyo,eng ENG,DF,Fulham,25-216,1997,17.2,15,0.87,13,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches,c81d773d
5,Nayef Aguerd,ma MAR,DF,West Ham,27-029,1996,13.7,10,0.73,9,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,288e1e13
6,Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,21-030,2002,1.0,2,1.94,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,a6c58494
7,Rayan Aït Nouri,dz ALG,DF,Wolves,21-326,2001,11.5,23,2.01,14,2,4,1,2,0,0,0.00,0,0,0,0,0,0,Matches,9b398aea
8,Kristoffer Ajer,no NOR,DF,Brentford,25-011,1998,8.5,4,0.47,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,a8c0acb7
9,Manuel Akanji,ch SUI,DF,Manchester City,27-283,1995,21.6,20,0.92,19,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,89ac64a6
10,Nathan Aké,nl NED,DF,Manchester City,28-069,1995,18.7,20,1.07,17,1,0,2,0,0,2,0.11,2,0,0,0,0,0,Matches,eaeca114
11,Marc Albrighton,eng ENG,FWMF,Leicester City,33-161,1989,2.6,7,2.66,5,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,b827d5b3
12,Thiago Alcántara,es ESP,MF,Liverpool,32-017,1991,13.9,41,2.94,33,0,3,1,1,3,2,0.14,2,0,0,0,0,0,Matches,77e84962
13,Carlos Alcaraz,ar ARG,MFFW,Southampton,20-149,2002,7.2,16,2.23,8,0,2,3,2,1,2,0.28,1,0,0,1,0,0,Matches,4abac767
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24-203,1998,26.5,99,3.74,61,31,2,4,1,0,13,0.49,10,2,1,0,0,0,Matches,cd1acf9d
15,Alisson,br BRA,GK,Liverpool,30-208,1992,32.0,3,0.09,3,0,0,0,0,0,2,0.06,2,0,0,0,0,0,Matches,7a2e46a8
16,Dele Alli,eng ENG,MF,Everton,27-017,1996,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,cea4ee8f
17,Miguel Almirón,py PAR,FW,Newcastle Utd,29-077,1994,23.4,70,2.99,51,2,7,7,3,0,11,0.47,4,1,4,2,0,0,Matches,862a1c15
18,Julián Álvarez,ar ARG,FWMF,Manchester City,23-087,2000,10.2,33,3.24,25,0,3,4,1,0,2,0.20,1,0,0,1,0,0,Matches,15ab5a2b
19,Daniel Amartey,gh GHA,DF,Leicester City,28-128,1994,17.9,15,0.84,15,0,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches,1a4ef233
20,Joachim Andersen,dk DEN,DF,Crystal Palace,26-332,1996,25.9,17,0.66,14,2,0,0,1,0,1,0.04,0,1,0,0,0,0,Matches,e34fc66d
21,Elliot Anderson,sct SCO,MFFW,Newcastle Utd,20-173,2002,2.4,14,5.89,8,0,2,0,4,0,0,0.00,0,0,0,0,0,0,Matches,de31038e
22,Jaidon Anthony,eng ENG,MFFW,Bournemouth,23-148,1999,12.3,35,2.85,26,3,3,1,1,1,2,0.16,1,0,0,0,1,0,Matches,e4238fb1
23,Michail Antonio,jm JAM,FW,West Ham,33-031,1990,16.9,36,2.12,21,0,6,4,5,0,8,0.47,5,0,2,1,0,0,Matches,ac05f970
24,Antony,br BRA,FW,Manchester Utd,23-063,2000,16.0,58,3.63,47,0,4,3,3,1,5,0.31,4,0,1,0,0,0,Matches,99127249
25,Cameron Archer,eng ENG,FWMF,Aston Villa,21-281,2001,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,05e8ca6d
26,Alphonse Areola,fr FRA,GK,West Ham,30-060,1993,3.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,2f965a72
27,Joe Aribo,ng NGA,MFFW,Southampton,26-281,1996,12.8,26,2.03,22,0,1,1,1,1,1,0.08,0,0,1,0,0,0,Matches,328f7d51
28,Adam Armstrong,eng ENG,FW,Southampton,26-077,1997,14.0,22,1.57,19,0,2,0,1,0,1,0.07,1,0,0,0,0,0,Matches,68c720b5
29,Stuart Armstrong,sct SCO,MFFW,Southampton,31-029,1992,12.7,44,3.46,35,0,0,5,4,0,1,0.08,0,0,0,0,1,0,Matches,97333cf5
30,Kepa Arrizabalaga,es ESP,GK,Chelsea,28-207,1994,23.5,1,0.04,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,28d596a0
31,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33-314,1989,5.7,8,1.41,6,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches,d5dd5f1f
32,Ludwig Augustinsson,se SWE,DF,Aston Villa,29-007,1994,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,9fec8860
33,Serge Aurier,ci CIV,DF,Nott'ham Forest,30-125,1992,16.9,22,1.30,18,1,0,0,2,1,0,0.00,0,0,0,0,0,0,Matches,5c2b4f07
34,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,25-259,1997,11.4,22,1.93,16,0,1,2,2,1,3,0.26,2,0,0,1,0,0,Matches,e5478b87
35,Yasin Ayari,se SWE,MF,Brighton,19-204,2003,0.1,2,16.36,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,f173303a
36,André Ayew,gh GHA,FWMF,Nott'ham Forest,33-132,1989,3.1,2,0.65,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,5dbefa9d
37,Jordan Ayew,gh GHA,FWMF,Crystal Palace,31-229,1991,25.2,66,2.62,43,0,8,6,6,3,4,0.16,2,0,0,1,1,0,Matches,da052c14
38,Luke Ayling,eng ENG,DF,Leeds United,31-246,1991,17.8,28,1.57,23,0,0,2,1,2,1,0.06,1,0,0,0,0,0,Matches,420d7c7d
39,César Azpilicueta,es ESP,DF,Chelsea,33-243,1989,12.8,19,1.49,19,0,0,0,0,0,1,0.08,1,0,0,0,0,0,Matches,53cad200
40,Benoît Badiashile,fr FRA,DF,Chelsea,22-033,2001,8.1,12,1.49,11,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches,06df8256
41,Leon Bailey,jm JAM,FWMF,Aston Villa,25-262,1997,19.3,51,2.64,33,2,8,6,2,0,5,0.26,3,0,0,2,0,0,Matches,3a233281
42,Stefan Bajcetic,es ESP,MF,Liverpool,18-188,2004,5.8,13,2.22,8,1,2,0,2,0,1,0.17,0,0,1,0,0,0,Matches,32e8417f
43,Patrick Bamford,eng ENG,FW,Leeds United,29-235,1993,13.8,22,1.59,14,0,1,3,3,1,5,0.36,4,0,1,0,0,0,Matches,93feac6e
44,Shandon Baptiste,gd GRN,MF,Brentford,25-020,1998,6.1,16,2.64,9,1,2,2,2,0,3,0.50,2,0,0,0,1,0,Matches,2886c9b5
45,Harvey Barnes,eng ENG,FWMF,Leicester City,25-140,1997,26.2,52,1.99,37,0,2,7,5,1,11,0.42,6,0,1,2,1,1,Matches,3ea50f67
46,Gavin Bazunu,ie IRL,GK,Southampton,21-067,2002,32.0,7,0.22,5,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,c91441dc
47,Mads Bech Sørensen,dk DEN,DFMF,Brentford,24-111,1999,0.2,1,4.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,30db8574
48,Jan Bednarek,pl POL,DF,Southampton,27-016,1996,13.6,7,0.52,5,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,4115ce4e
49,Jan Bednarek,pl POL,DF,Aston Villa,27-016,1996,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,4115ce4e
50,Donny van de Beek,nl NED,MF,Manchester Utd,26-010,1997,1.9,6,3.23,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,50dc94ce
