,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,-9999,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec
0,Brenden Aaronson,USA,MFFW,Leeds United,22,2000,32,28,2296,25.5,1,3,4,1,0,0,2,0,3.7,3.7,4.2,7.9,43,84,147,0.04,0.12,0.16,0.04,0.16,0.14,0.17,0.31,0.14,0.31,Matches,5bc43860,40,9,22.5,1.57,0.35,0.03,0.11,18.5,2,0.09,-2.7,-2.7,574,769,74.6,7352,2137,332,407,81.6,146,189,77.2,25,60,41.7,2.6,-1.2,46,45,16,4,94,3.68,56,17,7,8,1,7,0.27,3,1,0,1,1,1,43,17,15,21,7,13,31.7,28,41,38,5,48,6,1,1105,11,67,1105,34,34.0,48,48.0,666,13,69,79,746
1,Che Adams,SCO,FW,Southampton,26,1996,25,22,1873,20.8,5,3,8,5,0,0,1,0,5.9,5.9,2.8,8.7,14,30,96,0.24,0.14,0.38,0.24,0.38,0.28,0.13,0.42,0.28,0.42,Matches,f2bf1b0f,42,14,33.3,1.99,0.66,0.12,0.36,13.9,0,0.14,-0.9,-0.9,317,476,66.6,4462,1003,200,270,74.1,71,107,66.4,26,37,70.3,2.2,0.2,24,20,10,2,55,2.6,43,1,2,5,0,6,0.28,4,0,0,0,2,0,17,13,7,8,2,7,63.6,4,13,9,4,21,19,0,681,26,96,681,15,50.0,11,36.7,382,9,65,24,529
2,Tyler Adams,USA,MF,Leeds United,24,1999,24,24,2156,24.0,0,0,0,0,0,0,6,1,0.1,0.1,1.4,1.5,19,136,20,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches,2b09d998,4,0,0.0,0.17,0.0,0.0,,27.5,0,0.03,-0.1,-0.1,1108,1343,82.5,16592,5061,607,686,88.5,390,460,84.8,63,107,58.9,1.0,-1.4,24,110,13,0,43,1.79,42,0,0,1,0,1,0.04,1,0,0,0,0,0,89,46,44,35,10,50,64.9,27,48,40,35,124,29,0,1628,44,5,1628,7,31.8,12,54.5,818,0,28,18,919
3,Tosin Adarabioyo,ENG,DF,Fulham,25,1997,19,17,1545,17.2,1,0,1,1,0,0,3,0,0.4,0.4,0.2,0.6,15,71,3,0.06,0.0,0.06,0.06,0.06,0.02,0.01,0.03,0.02,0.03,Matches,c81d773d,9,4,44.4,0.52,0.23,0.11,0.25,22.6,1,0.04,0.6,0.6,754,937,80.5,15663,5801,186,221,84.2,477,538,88.7,82,150,54.7,0.3,-0.2,4,66,4,0,15,0.87,13,0,0,0,0,0,0.0,0,0,0,0,0,0,20,9,15,4,1,10,66.7,5,16,3,21,41,106,1,1122,173,14,1122,4,66.7,2,33.3,596,1,2,4,686
4,Nayef Aguerd,MAR,DF,West Ham,27,1996,14,13,1235,13.7,1,0,1,1,0,0,4,0,1.4,1.4,0.4,1.8,2,18,4,0.07,0.0,0.07,0.07,0.07,0.1,0.03,0.13,0.1,0.13,Matches,288e1e13,8,1,12.5,0.58,0.07,0.13,1.0,9.4,0,0.18,-0.4,-0.4,448,572,78.3,9079,3890,161,174,92.5,227,261,87.0,56,125,44.8,0.2,-0.4,4,28,3,0,10,0.73,9,0,0,0,0,0,0.0,0,0,0,0,0,0,20,14,14,6,0,11,73.3,4,19,1,14,34,58,2,710,124,15,710,4,66.7,0,0.0,409,0,8,4,439
5,Naouirou Ahamada,FRA,MFFW,Crystal Palace,21,2002,7,0,93,1.0,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.2,1,2,11,0.0,0.0,0.0,0.0,0.0,0.15,0.07,0.22,0.15,0.22,Matches,a6c58494,3,0,0.0,2.9,0.0,0.0,,15.9,0,0.05,-0.2,-0.2,37,46,80.4,550,179,19,23,82.6,15,17,88.2,1,3,33.3,0.0,-0.1,1,3,0,0,2,1.94,1,0,0,0,0,0,0.0,0,0,0,0,0,0,3,2,3,0,0,1,33.3,2,2,2,0,3,0,0,63,0,4,63,1,50.0,1,50.0,31,1,5,0,38
6,Rayan Aït Nouri,ALG,DF,Wolves,21,2001,20,9,1031,11.5,1,0,1,1,0,0,4,0,0.7,0.7,1.0,1.7,30,43,76,0.09,0.0,0.09,0.09,0.09,0.06,0.09,0.15,0.06,0.15,Matches,9b398aea,10,5,50.0,0.87,0.44,0.1,0.2,14.1,0,0.07,0.3,0.3,446,552,80.8,6728,2269,255,287,88.9,159,195,81.5,20,32,62.5,0.8,-1.0,7,28,14,5,23,2.01,14,2,4,2,0,0,0.0,0,0,0,0,0,0,33,20,25,7,1,9,64.3,5,3,3,9,42,27,0,709,39,28,709,24,53.3,18,40.0,378,10,27,10,430
7,Kristoffer Ajer,NOR,DF,Brentford,25,1998,9,9,763,8.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,10,31,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,Matches,a8c0acb7,1,0,0.0,0.12,0.0,0.0,,6.0,0,0.04,0.0,0.0,259,345,75.1,4480,1887,131,159,82.4,102,128,79.7,23,40,57.5,0.1,0.0,1,20,3,1,4,0.47,4,0,0,0,0,0,0.0,0,0,0,0,0,0,11,8,5,4,2,9,56.3,7,6,1,7,18,22,0,412,45,9,412,1,14.3,4,57.1,213,0,3,8,231
8,Manuel Akanji,SUI,DF,Manchester City,27,1995,24,20,1946,21.6,0,1,1,0,0,0,2,0,1.2,1.2,0.3,1.4,22,93,12,0.0,0.05,0.05,0.0,0.05,0.05,0.01,0.07,0.05,0.07,Matches,89ac64a6,13,2,15.4,0.6,0.09,0.0,0.0,16.8,0,0.09,-1.2,-1.2,1587,1702,93.2,27104,8584,717,745,96.2,755,790,95.6,94,134,70.1,0.5,0.7,5,107,2,1,20,0.92,19,0,0,0,0,0,0.0,0,0,0,0,0,0,32,22,14,15,3,19,61.3,12,25,17,14,46,29,0,1853,109,28,1853,5,71.4,1,14.3,1283,1,9,2,1438
9,Nathan Aké,NED,DF,Manchester City,28,1995,23,19,1683,18.7,0,0,0,0,0,0,2,0,1.0,1.0,0.6,1.6,22,128,28,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.09,0.05,0.09,Matches,eaeca114,7,1,14.3,0.37,0.05,0.0,0.0,11.4,0,0.14,-1.0,-1.0,1477,1633,90.4,23750,8378,722,759,95.1,668,724,92.3,61,94,64.9,1.2,-0.6,8,136,8,1,20,1.07,17,1,0,0,0,2,0.11,2,0,0,0,0,0,22,8,13,7,2,9,69.2,4,17,8,18,40,38,0,1760,77,27,1760,3,60.0,1,20.0,1105,3,16,0,1342
