,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,-9999
1,Brenden Aaronson,us USA,MFFW,Leeds United,22-188,2000,25.5,574,769,74.6,7352,2137,332,407,81.6,146,189,77.2,25,60,41.7,3,4.2,2.6,-1.2,46,45,16,4,84,Matches,5bc43860
2,Che Adams,sct SCO,FW,Southampton,26-289,1996,21.1,317,476,66.6,4462,1003,200,270,74.1,71,107,66.4,26,37,70.3,3,2.8,2.2,+0.2,24,20,10,2,32,Matches,f2bf1b0f
3,Tyler Adams,us USA,MF,Leeds United,24-073,1999,24.0,1108,1343,82.5,16592,5061,607,686,88.5,390,460,84.8,63,107,58.9,0,1.4,1.0,-1.4,24,110,13,0,136,Matches,2b09d998
4,Tosin Adarabioyo,eng ENG,DF,Fulham,25-216,1997,17.2,754,937,80.5,15663,5801,186,221,84.2,477,538,88.7,82,150,54.7,0,0.2,0.3,-0.2,4,66,4,0,71,Matches,c81d773d
5,Nayef Aguerd,ma MAR,DF,West Ham,27-029,1996,13.7,448,572,78.3,9079,3890,161,174,92.5,227,261,87.0,56,125,44.8,0,0.4,0.2,-0.4,4,28,3,0,18,Matches,288e1e13
6,Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,21-030,2002,1.0,37,46,80.4,550,179,19,23,82.6,15,17,88.2,1,3,33.3,0,0.1,0.0,-0.1,1,3,0,0,2,Matches,a6c58494
7,Rayan Aït Nouri,dz ALG,DF,Wolves,21-326,2001,11.5,446,552,80.8,6728,2269,255,287,88.9,159,195,81.5,20,32,62.5,0,1.0,0.8,-1.0,7,28,14,5,43,Matches,9b398aea
8,Kristoffer Ajer,no NOR,DF,Brentford,25-011,1998,8.5,259,345,75.1,4480,1887,131,159,82.4,102,128,79.7,23,40,57.5,0,0.0,0.1,0.0,1,20,3,1,31,Matches,a8c0acb7
9,Manuel Akanji,ch SUI,DF,Manchester City,27-283,1995,21.6,1587,1702,93.2,27104,8584,717,745,96.2,755,790,95.6,94,134,70.1,1,0.3,0.5,+0.7,5,107,2,1,93,Matches,89ac64a6
10,Nathan Aké,nl NED,DF,Manchester City,28-069,1995,18.7,1477,1633,90.4,23750,8378,722,759,95.1,668,724,92.3,61,94,64.9,0,0.6,1.2,-0.6,8,136,8,1,128,Matches,eaeca114
11,Marc Albrighton,eng ENG,FWMF,Leicester City,33-161,1989,2.6,89,148,60.1,1440,551,48,60,80.0,23,34,67.6,12,34,35.3,0,0.9,0.4,-0.9,6,6,5,2,7,Matches,b827d5b3
12,Thiago Alcántara,es ESP,MF,Liverpool,32-017,1991,13.9,946,1097,86.2,17219,4988,433,466,92.9,346,392,88.3,136,172,79.1,0,1.1,1.3,-1.1,17,110,20,1,120,Matches,77e84962
13,Carlos Alcaraz,ar ARG,MFFW,Southampton,20-149,2002,7.2,150,195,76.9,2102,457,80,94,85.1,54,62,87.1,4,15,26.7,1,0.5,0.4,+0.5,3,13,4,0,18,Matches,4abac767
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24-203,1998,26.5,1761,2351,74.9,33251,13155,814,913,89.2,656,837,78.4,262,515,50.9,7,8.9,7.4,-1.9,60,183,65,22,194,Matches,cd1acf9d
15,Alisson,br BRA,GK,Liverpool,30-208,1992,32.0,1090,1272,85.7,25264,16273,279,281,99.3,568,577,98.4,239,405,59.0,1,0.3,0.0,+0.7,1,14,0,0,2,Matches,7a2e46a8
16,Dele Alli,eng ENG,MF,Everton,27-017,1996,0.4,12,15,80.0,123,10,6,8,75.0,4,5,80.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,1,Matches,cea4ee8f
17,Miguel Almirón,py PAR,FW,Newcastle Utd,29-077,1994,23.4,683,829,82.4,9278,2307,423,471,89.8,198,243,81.5,26,36,72.2,1,1.8,2.2,-0.8,21,39,26,3,109,Matches,862a1c15
18,Julián Álvarez,ar ARG,FWMF,Manchester City,23-087,2000,10.2,229,295,77.6,3055,475,135,162,83.3,57,76,75.0,15,20,75.0,0,1.3,0.9,-1.3,12,13,8,2,24,Matches,15ab5a2b
19,Daniel Amartey,gh GHA,DF,Leicester City,28-128,1994,17.9,1015,1114,91.1,17506,6591,442,473,93.4,498,526,94.7,62,91,68.1,0,0.5,0.4,-0.5,5,58,1,0,66,Matches,1a4ef233
20,Joachim Andersen,dk DEN,DF,Crystal Palace,26-332,1996,25.9,1254,1591,78.8,29554,11315,285,318,89.6,724,793,91.3,239,447,53.5,0,1.1,0.7,-1.1,10,108,7,1,75,Matches,e34fc66d
21,Elliot Anderson,sct SCO,MFFW,Newcastle Utd,20-173,2002,2.4,79,106,74.5,1144,372,43,51,84.3,28,33,84.8,3,5,60.0,0,0.7,0.9,-0.7,5,9,2,0,11,Matches,de31038e
22,Jaidon Anthony,eng ENG,MFFW,Bournemouth,23-148,1999,12.3,339,460,73.7,5083,1400,194,224,86.6,100,136,73.5,26,49,53.1,0,1.0,1.1,-1.0,11,20,18,7,45,Matches,e4238fb1
23,Michail Antonio,jm JAM,FW,West Ham,33-031,1990,16.9,159,295,53.9,2332,428,93,137,67.9,51,94,54.3,11,30,36.7,3,1.2,0.7,+1.8,14,12,6,2,24,Matches,ac05f970
24,Antony,br BRA,FW,Manchester Utd,23-063,2000,16.0,513,648,79.2,6549,1468,360,404,89.1,107,148,72.3,19,37,51.4,1,1.8,1.8,-0.8,18,22,25,1,56,Matches,99127249
25,Cameron Archer,eng ENG,FWMF,Aston Villa,21-281,2001,0.5,8,12,66.7,108,44,5,5,100.0,3,5,60.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,0,Matches,05e8ca6d
26,Alphonse Areola,fr FRA,GK,West Ham,30-060,1993,3.4,67,92,72.8,1737,1323,25,25,100.0,22,22,100.0,19,43,44.2,0,0.0,0.0,0.0,0,0,0,0,0,Matches,2f965a72
27,Joe Aribo,ng NGA,MFFW,Southampton,26-281,1996,12.8,268,369,72.6,3398,898,182,235,77.4,60,81,74.1,9,12,75.0,0,0.8,0.5,-0.8,9,20,9,0,39,Matches,328f7d51
28,Adam Armstrong,eng ENG,FW,Southampton,26-077,1997,14.0,213,291,73.2,3131,573,116,140,82.9,68,86,79.1,13,22,59.1,1,0.7,0.8,+0.3,10,12,10,2,16,Matches,68c720b5
