,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
1,Brenden Aaronson,us USA,MFFW,Leeds United,22-188,2000,25.5,1,40,9,22.5,1.57,0.35,0.03,0.11,18.5,2,0,0,3.7,3.7,0.09,-2.7,-2.7,Matches,5bc43860
2,Che Adams,sct SCO,FW,Southampton,26-289,1996,21.1,5,42,14,33.3,1.99,0.66,0.12,0.36,13.9,0,0,0,5.9,5.9,0.14,-0.9,-0.9,Matches,f2bf1b0f
3,Tyler Adams,us USA,MF,Leeds United,24-073,1999,24.0,0,4,0,0.0,0.17,0.00,0.00,,27.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,2b09d998
4,Tosin Adarabioyo,eng ENG,DF,Fulham,25-216,1997,17.2,1,9,4,44.4,0.52,0.23,0.11,0.25,22.6,1,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches,c81d773d
5,Nayef Aguerd,ma MAR,DF,West Ham,27-029,1996,13.7,1,8,1,12.5,0.58,0.07,0.13,1.00,9.4,0,0,0,1.4,1.4,0.18,-0.4,-0.4,Matches,288e1e13
6,Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,21-030,2002,1.0,0,3,0,0.0,2.90,0.00,0.00,,15.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,a6c58494
7,Rayan Aït Nouri,dz ALG,DF,Wolves,21-326,2001,11.5,1,10,5,50.0,0.87,0.44,0.10,0.20,14.1,0,0,0,0.7,0.7,0.07,+0.3,+0.3,Matches,9b398aea
8,Kristoffer Ajer,no NOR,DF,Brentford,25-011,1998,8.5,0,1,0,0.0,0.12,0.00,0.00,,6.0,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,a8c0acb7
9,Manuel Akanji,ch SUI,DF,Manchester City,27-283,1995,21.6,0,13,2,15.4,0.60,0.09,0.00,0.00,16.8,0,0,0,1.2,1.2,0.09,-1.2,-1.2,Matches,89ac64a6
10,Nathan Aké,nl NED,DF,Manchester City,28-069,1995,18.7,0,7,1,14.3,0.37,0.05,0.00,0.00,11.4,0,0,0,1.0,1.0,0.14,-1.0,-1.0,Matches,eaeca114
11,Marc Albrighton,eng ENG,FWMF,Leicester City,33-161,1989,2.6,1,2,1,50.0,0.76,0.38,0.50,1.00,8.0,0,0,0,0.3,0.3,0.17,+0.7,+0.7,Matches,b827d5b3
12,Thiago Alcántara,es ESP,MF,Liverpool,32-017,1991,13.9,0,10,1,10.0,0.72,0.07,0.00,0.00,24.1,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,77e84962
13,Carlos Alcaraz,ar ARG,MFFW,Southampton,20-149,2002,7.2,3,19,8,42.1,2.65,1.11,0.16,0.38,20.0,0,0,0,1.1,1.1,0.06,+1.9,+1.9,Matches,4abac767
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24-203,1998,26.5,1,28,4,14.3,1.06,0.15,0.04,0.25,23.0,4,0,0,1.8,1.8,0.06,-0.8,-0.8,Matches,cd1acf9d
15,Alisson,br BRA,GK,Liverpool,30-208,1992,32.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7a2e46a8
16,Dele Alli,eng ENG,MF,Everton,27-017,1996,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,cea4ee8f
17,Miguel Almirón,py PAR,FW,Newcastle Utd,29-077,1994,23.4,11,54,17,31.5,2.31,0.73,0.20,0.65,16.6,0,0,0,6.4,6.4,0.12,+4.6,+4.6,Matches,862a1c15
18,Julián Álvarez,ar ARG,FWMF,Manchester City,23-087,2000,10.2,7,30,13,43.3,2.94,1.28,0.20,0.46,14.7,0,1,1,5.2,4.4,0.15,+1.8,+1.6,Matches,15ab5a2b
19,Daniel Amartey,gh GHA,DF,Leicester City,28-128,1994,17.9,0,6,2,33.3,0.34,0.11,0.00,0.00,17.4,0,0,0,1.1,1.1,0.18,-1.1,-1.1,Matches,1a4ef233
20,Joachim Andersen,dk DEN,DF,Crystal Palace,26-332,1996,25.9,1,20,9,45.0,0.77,0.35,0.05,0.11,14.6,1,0,0,1.6,1.6,0.08,-0.6,-0.6,Matches,e34fc66d
21,Elliot Anderson,sct SCO,MFFW,Newcastle Utd,20-173,2002,2.4,0,7,3,42.9,2.96,1.27,0.00,0.00,13.0,0,0,0,0.8,0.8,0.12,-0.8,-0.8,Matches,de31038e
22,Jaidon Anthony,eng ENG,MFFW,Bournemouth,23-148,1999,12.3,3,21,12,57.1,1.71,0.98,0.14,0.25,19.1,2,0,0,2.2,2.2,0.10,+0.8,+0.8,Matches,e4238fb1
23,Michail Antonio,jm JAM,FW,West Ham,33-031,1990,16.9,4,32,11,34.4,1.89,0.65,0.13,0.36,12.0,0,0,0,5.0,5.0,0.16,-1.0,-1.0,Matches,ac05f970
24,Antony,br BRA,FW,Manchester Utd,23-063,2000,16.0,4,54,21,38.9,3.38,1.32,0.07,0.19,20.0,0,0,0,4.8,4.8,0.09,-0.8,-0.8,Matches,99127249
25,Cameron Archer,eng ENG,FWMF,Aston Villa,21-281,2001,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,05e8ca6d
26,Alphonse Areola,fr FRA,GK,West Ham,30-060,1993,3.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2f965a72
27,Joe Aribo,ng NGA,MFFW,Southampton,26-281,1996,12.8,2,14,8,57.1,1.09,0.62,0.14,0.25,10.9,0,0,0,1.5,1.5,0.11,+0.5,+0.5,Matches,328f7d51
28,Adam Armstrong,eng ENG,FW,Southampton,26-077,1997,14.0,1,23,11,47.8,1.64,0.78,0.04,0.09,16.1,0,0,0,1.8,1.8,0.08,-0.8,-0.8,Matches,68c720b5
29,Stuart Armstrong,sct SCO,MFFW,Southampton,31-029,1992,12.7,1,20,4,20.0,1.57,0.31,0.05,0.25,18.9,0,0,0,1.6,1.6,0.08,-0.6,-0.6,Matches,97333cf5
30,Kepa Arrizabalaga,es ESP,GK,Chelsea,28-207,1994,23.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,28d596a0
